trip,trial,det,Bait.taken.,eat,ID,appr
1,1,Boat01 80-V,N,0,Tia,5
1,2,Boat01 80-V,N,0,Tia,5
1,3,Boat01 80-V,N,0,Tia,3
2,4,Control,Y,1,Elfie,1
2,5,Control,Y,1,Elfie,1
3,6,Boat01 80-V,N,0,White Spot,1
3,7,Control,Y,1,White Spot,1
3,8,Control,N,0,White Spot,1
3,9,Control,N,0,Shark 4,7
3,10,Boat01 80-V,N,0,Shark 4,8
3,11,Control,N,0,Shark 4,2
3,12,Boat01 80-V,N,0,Itchy,11
3,13,Control,Y,1,Itchy,5
3,14,Control,N,0,Itchy,2
3,15,Boat01 80-V,N,0,Itchy,14
3,16,Boat01 80-V,N,0,Kachow,3
4,17,Boat01 80-V,N,0,Shark 1,3
4,18,Control,N,0,Shark 2,4
4,19,Boat01 80-V,N,0,Old Tag,4
4,20,Control,N,0,Old Tag,6
4,21,Boat01 80-V,N,0,New Tagged,2
4,22,Boat01 80-V,N,0,New Tagged,8
4,23,Control,N,0,New Tagged,10
4,24,Boat01 80-V,N,0,New Tagged,7
4,25,Boat01 80-V,N,0,New Tagged,11
4,26,Control,Y,1,Marlin,1
4,27,Control,N,0,New Tagged,7
4,28,Boat01 80-V,N,0,New Tagged,3
4,29,Control,Y,1,New Tagged,3
4,30,Boat01 80-V,Y,1,Old Tag,5
4,31,Boat01 80-V,N,0,Marlin,4
4,32,Boat01 80-V,N,0,Old Tag,22
4,33,Control,Y,1,Old Tag,4
4,34,Boat01 80-V,N,0,Old Tag,25
4,35,Control,N,0,Old Tag,3
4,36,Boat01 80-V,Y,1,Marlin,5
4,37,Boat01 80-V,N,0,Marlin,4
4,38,Control,Y,1,Old Tag,2
4,39,Control,N,0,Marlin,4
4,40,Boat01 80-V,Y,1,Marlin,4
4,41,Boat01 80-V,Y,1,Marlin,7
4,42,Control,Y,1,Old Tag,4
4,43,Boat01 80-V,Y,1,Marlin,2
4,44,Boat01 80-V,Y,1,Maeve,8
4,45,Control,Y,1,Maeve,1
4,46,Boat01 80-V,N,0,Old Tag,4
4,47,Control,Y,1,Old Tag,1
4,48,Control,N,0,Old Tag,5
4,49,Control,Y,1,New Tagged,1
4,50,Boat01 80-V,N,0,New Tagged,3
4,51,Control,Y,1,Scar Face,3
4,52,Boat01 80-V,N,0,Clippy,1
4,53,Control,Y,1,New Tagged,3
4,54,Control,Y,1,Clippy,6
4,55,Control,Y,1,Clippy,2
4,56,Boat01 80-V,N,0,Marlin,4
4,57,Control,Y,1,Marlin,3
4,58,Control,Y,1,Staple,3
4,59,Boat01 80-V,N,0,Staple,29
4,60,Boat01 80-V,Y,1,Staple,3
4,61,Control,Y,1,Staple,12
4,62,Boat01 80-V,Y,1,Staple,6
4,63,Control,Y,1,Clippy,2
4,64,Boat01 80-V,N,0,Staple,2
